mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
28	27	219/4	219/4	0.125		7/16	7/16	2/4	1	1	1/32		1/32	1		2	86	D6	6	245
28	27	439/8	439/8	0.125		15/32	15/32	2/4	1	1	1/32		1/32	1		4	88	E6	6	246
29	28	55	55	0.5		0	0	2/4	2	1	1/8		1/8	1		6	66	F#4	4	258
29	28	55	55	0.5		0	0	2/4	2	1	1/8		1/8	1		3	69	A4	4	258
29	28	55	55	0.25		0	0	2/4	1	1	1/16		1/16	1		4	88	E6	6	249
29	28	221/4	221/4	0.25		1/16	1/16	2/4	1	1	1/16		1/16	1		2	86	D6	6	250
29	28	111/2	111/2	0.5		1/8	1/8	2/4	2	1	1/8		1/8	1		4	64	E4	4	259
29	28	111/2	111/2	0.5		1/8	1/8	2/4	2	1	1/8		1/8	1		3	69	A4	4	259
29	28	111/2	111/2	0.25		1/8	1/8	2/4	1	1	1/16		1/16	1		2	86	D6	6	251
29	28	223/4	223/4	0.25		3/16	3/16	2/4	1	1	1/16		1/16	1		7	85	C#6	6	252
29	28	56	56	0.0		1/4	1/4	2/4	1	1	0	appoggiatura	1/8	1		7	85	C#6	6	253
29	28	56	56	0.5		1/4	1/4	2/4	2	1	1/8		1/8	1		2	62	D4	4	260
29	28	56	56	0.5		1/4	1/4	2/4	2	1	1/8		1/8	1		3	69	A4	4	260
29	28	56	56	0.25		1/4	1/4	2/4	1	1	1/16		1/16	1		5	83	B5	5	254
29	28	225/4	225/4	0.25		5/16	5/16	2/4	1	1	1/16		1/16	1		3	81	A5	5	255
29	28	113/2	113/2	0.5		3/8	3/8	2/4	2	1	1/8		1/8	1		4	64	E4	4	261
29	28	113/2	113/2	0.5		3/8	3/8	2/4	2	1	1/8		1/8	1		8	68	G#4	4	261
29	28	113/2	113/2	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		5	83	B5	5	256
29	28	227/4	227/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		7	85	C#6	6	257
30	29	57	57	0.5		0	0	2/4	2	1	1/8		1/8	1		3	57	A3	3	267
30	29	57	57	1.0		0	0	2/4	1	1	1/4		1/4	1		3	81	A5	5	262
30	29	115/2	115/2	0.5		1/8	1/8	2/4	2	1	1/8		1/8	1		3	69	A4	4	268
30	29	58	58	0.25		1/4	1/4	2/4	1	1	1/16		1/16	1		7	73	C#5	5	263
30	29	233/4	233/4	0.25		5/16	5/16	2/4	1	1	1/16		1/16	1		11	77	E#5	5	264
30	29	117/2	117/2	0.5		3/8	3/8	2/4	2	1	1/8		1/8	1		3	69	A4	4	269
30	29	117/2	117/2	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		6	78	F#5	5	265
30	29	235/4	235/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		7	73	C#5	5	266
31	30	59	59	0.5		0	0	2/4	2	1	1/8		1/8	1		8	68	G#4	4	278
31	30	59	59	0.25		0	0	2/4	1	1	1/16		1/16	1		5	71	B4	4	270
31	30	237/4	237/4	0.25		1/16	1/16	2/4	1	1	1/16		1/16	1		9	75	D#5	5	271
31	30	119/2	119/2	0.5		1/8	1/8	2/4	2	1	1/8		1/8	1		1	67	G4	4	279
31	30	119/2	119/2	0.25		1/8	1/8	2/4	1	1	1/16		1/16	1		4	76	E5	5	272
31	30	239/4	239/4	0.25		3/16	3/16	2/4	1	1	1/16		1/16	1		-2	70	Bb4	4	273
31	30	60	60	0.5		1/4	1/4	2/4	2	1	1/8		1/8	1		6	66	F#4	4	280
31	30	60	60	0.25		1/4	1/4	2/4	1	1	1/16		1/16	1		3	69	A4	4	274
31	30	241/4	241/4	0.25		5/16	5/16	2/4	1	1	1/16		1/16	1		7	73	C#5	5	275
31	30	121/2	121/2	0.5		3/8	3/8	2/4	2	1	1/8		1/8	1		-1	65	F4	4	281
31	30	121/2	121/2	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		2	74	D5	5	276
31	30	243/4	243/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		8	68	G#4	4	277
32	31	61	61	0.5		0	0	2/4	2	1	1/8		1/8	1		4	64	E4	4	290
32	31	61	61	0.25		0	0	2/4	1	1	1/16		1/16	1		13	67	F##4	4	282
32	31	245/4	245/4	0.25		1/16	1/16	2/4	1	1	1/16		1/16	1		12	72	B#4	4	283
32	31	123/2	123/2	0.5		1/8	1/8	2/4	2	1	1/8		1/8	1		9	63	D#4	4	291
32	31	123/2	123/2	0.25		1/8	1/8	2/4	1	1	1/16		1/16	1		7	73	C#5	5	284
32	31	247/4	247/4	0.25		3/16	3/16	2/4	1	1	1/16		1/16	1	1	6	66	F#4	4	285
32	31	62	62	1.0		1/4	1/4	2/4	2	1	1/4		1/4	1		2	62	D4	4	292
32	31	62	62	0.25		1/4	1/4	2/4	1	1	1/16		1/16	1	-1	6	66	F#4	4	286
32	31	249/4	249/4	0.25		5/16	5/16	2/4	1	1	1/16		1/16	1		10	70	A#4	4	287
32	31	125/2	125/2	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		5	71	B4	4	288
32	31	251/4	251/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		-1	65	F4	4	289
33	32	63	63	0.5		0	0	2/4	2	1	1/8		1/8	1		2	62	D4	4	301
33	32	63	63	0.25		0	0	2/4	1	1	1/16		1/16	1		4	64	E4	4	293
33	32	253/4	253/4	0.25		1/16	1/16	2/4	1	1	1/16		1/16	1		8	68	G#4	4	294
33	32	127/2	127/2	0.5		1/8	1/8	2/4	2	1	1/8		1/8	1		7	61	C#4	4	302
33	32	127/2	127/2	0.25		1/8	1/8	2/4	1	1	1/16		1/16	1		3	69	A4	4	295
33	32	255/4	255/4	0.25		3/16	3/16	2/4	1	1	1/16		1/16	1		4	64	E4	4	296
33	32	64	64	0.5		1/4	1/4	2/4	2	1	1/8		1/8	1		5	59	B3	3	303
33	32	64	64	0.25		1/4	1/4	2/4	1	1	1/16		1/16	1		2	62	D4	4	297
33	32	257/4	257/4	0.25		5/16	5/16	2/4	1	1	1/16		1/16	1		8	68	G#4	4	298
33	32	129/2	129/2	0.5		3/8	3/8	2/4	2	1	1/8		1/8	1		3	57	A3	3	304
33	32	129/2	129/2	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		7	61	C#4	4	299
33	32	259/4	259/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		3	69	A4	4	300
34	33	65	65	0.5		0	0	2/4	2	1	1/8		1/8	1		4	64	E4	4	309
34	33	65	65	0.5		0	0	2/4	1	1	1/8		1/8	1		3	69	A4	4	305
34	33	65	65	0.5		0	0	2/4	1	1	1/8		1/8	1		7	73	C#5	5	305
34	33	131/2	131/2	0.5		1/8	1/8	2/4	2	1	1/8		1/8	1		4	52	E3	3	310
34	33	131/2	131/2	0.5		1/8	1/8	2/4	1	1	1/8		1/8	1		8	68	G#4	4	306
34	33	131/2	131/2	0.5		1/8	1/8	2/4	1	1	1/8		1/8	1		5	71	B4	4	306
34	33	66	66	1.0		1/4	1/4	2/4	2	1	1/4		1/4	1		3	45	A2	2	311
34	33	66	66	1.0		1/4	1/4	2/4	2	1	1/4		1/4	1		4	52	E3	3	311
34	33	265/4	265/4	0.25		5/16	5/16	2/4	1	1	1/16		1/16	1		7	73	C#5	5	307
34	33	133/2	133/2	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1	1	4	88	E6	6	308
35	34	67	67	1.0		0	0	2/4	2	1	1/4		1/4	1		8	44	G#2	2	318
35	34	67	67	1.0		0	0	2/4	2	1	1/4		1/4	1		4	52	E3	3	318
35	34	67	67	0.25		0	0	2/4	1	1	1/16		1/16	1	-1	4	88	E6	6	312
35	34	269/4	269/4	0.25		1/16	1/16	2/4	1	1	1/16		1/16	1		2	74	D5	5	313
35	34	135/2	135/2	0.5		1/8	1/8	2/4	1	1	1/8		1/8	1	1	4	88	E6	6	314
35	34	68	68	1.0		1/4	1/4	2/4	2	1	1/4		1/4	1		3	45	A2	2	319
35	34	68	68	1.0		1/4	1/4	2/4	2	1	1/4		1/4	1		4	52	E3	3	319
35	34	68	68	0.25		1/4	1/4	2/4	1	1	1/16		1/16	1	-1	4	88	E6	6	315
35	34	273/4	273/4	0.25		5/16	5/16	2/4	1	1	1/16		1/16	1		7	73	C#5	5	316
35	34	137/2	137/2	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1	1	4	88	E6	6	317
36	35	69	69	1.0		0	0	2/4	2	1	1/4		1/4	1		2	50	D3	3	326
36	35	69	69	1.0		0	0	2/4	2	1	1/4		1/4	1		4	52	E3	3	326
36	35	69	69	1.0		0	0	2/4	2	1	1/4		1/4	1		8	56	G#3	3	326
36	35	69	69	0.25		0	0	2/4	1	1	1/16		1/16	1	-1	4	88	E6	6	320
36	35	277/4	277/4	0.25		1/16	1/16	2/4	1	1	1/16		1/16	1		5	71	B4	4	321
36	35	139/2	139/2	0.5		1/8	1/8	2/4	1	1	1/8		1/8	1	1	4	88	E6	6	322
36	35	70	70	1.0		1/4	1/4	2/4	2	1	1/4		1/4	1		2	50	D3	3	327
36	35	70	70	1.0		1/4	1/4	2/4	2	1	1/4		1/4	1		4	52	E3	3	327
36	35	70	70	1.0		1/4	1/4	2/4	2	1	1/4		1/4	1		8	56	G#3	3	327
36	35	70	70	1.0		1/4	1/4	2/4	2	1	1/4		1/4	1		5	59	B3	3	327
36	35	70	70	0.25		1/4	1/4	2/4	1	1	1/16		1/16	1	-1	4	88	E6	6	323
36	35	281/4	281/4	0.25		5/16	5/16	2/4	1	1	1/16		1/16	1		5	71	B4	4	324
36	35	141/2	141/2	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1		7	73	C#5	5	325
37	36	71	71	1.0		0	0	2/4	2	1	1/4		1/4	1		7	49	C#3	3	342
37	36	71	71	1.0		0	0	2/4	2	1	1/4		1/4	1		4	52	E3	3	342
37	36	71	71	1.0		0	0	2/4	2	1	1/4		1/4	1		3	57	A3	3	342
37	36	71	71	1.0		0	0	2/4	2	1	1/4		1/4	1		7	61	C#4	4	342
37	36	71	71	0.125		0	0	2/4	1	1	1/32		1/32	1		3	69	A4	4	328
37	36	569/8	569/8	0.125		1/32	1/32	2/4	1	1	1/32		1/32	1		5	71	B4	4	329
37	36	285/4	285/4	0.125		1/16	1/16	2/4	1	1	1/32		1/32	1		3	69	A4	4	330
37	36	571/8	571/8	0.125		3/32	3/32	2/4	1	1	1/32		1/32	1		8	68	G#4	4	331
37	36	143/2	143/2	0.125		1/8	1/8	2/4	1	1	1/32		1/32	1		3	69	A4	4	332
37	36	573/8	573/8	0.125		5/32	5/32	2/4	1	1	1/32		1/32	1		5	71	B4	4	333
37	36	287/4	287/4	0.125		3/16	3/16	2/4	1	1	1/32		1/32	1		7	73	C#5	5	334
37	36	575/8	575/8	0.125		7/32	7/32	2/4	1	1	1/32		1/32	1		2	74	D5	5	335
37	36	72	72	0.125		1/4	1/4	2/4	1	1	1/32		1/32	1		4	76	E5	5	336
37	36	577/8	577/8	0.125		9/32	9/32	2/4	1	1	1/32		1/32	1		6	78	F#5	5	337
37	36	289/4	289/4	0.125		5/16	5/16	2/4	1	1	1/32		1/32	1		8	80	G#5	5	338
37	36	579/8	579/8	0.125		11/32	11/32	2/4	1	1	1/32		1/32	1		3	81	A5	5	339
37	36	145/2	145/2	0.5		3/8	3/8	2/4	2	1	1/8		1/8	1		2	50	D3	3	343
37	36	145/2	145/2	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		3	81	A5	5	340
37	36	291/4	291/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		6	78	F#5	5	341
38	37	73	73	0.5		0	0	2/4	2	1	1/8		1/8	1		4	52	E3	3	352
38	37	73	73	0.25		0	0	2/4	1	1	1/16		1/16	1		6	78	F#5	5	344
38	37	293/4	293/4	0.25		1/16	1/16	2/4	1	1	1/16		1/16	1		4	76	E5	5	345
38	37	147/2	147/2	0.5		1/8	1/8	2/4	2	1	1/8		1/8	1		3	57	A3	3	353
38	37	147/2	147/2	0.5		1/8	1/8	2/4	2	1	1/8		1/8	1		7	61	C#4	4	353
38	37	147/2	147/2	0.25		1/8	1/8	2/4	1	1	1/16		1/16	1		4	76	E5	5	346
38	37	295/4	295/4	0.25		3/16	3/16	2/4	1	1	1/16		1/16	1		7	73	C#5	5	347
38	37	74	74	0.5		1/4	1/4	2/4	2	1	1/8		1/8	1		4	52	E3	3	354
38	37	74	74	0.25		1/4	1/4	2/4	1	1	1/16		1/16	1		4	76	E5	5	348
38	37	297/4	297/4	0.25		5/16	5/16	2/4	1	1	1/16		1/16	1		2	74	D5	5	349
38	37	149/2	149/2	0.5		3/8	3/8	2/4	2	1	1/8		1/8	1		8	56	G#3	3	355
38	37	149/2	149/2	0.5		3/8	3/8	2/4	2	1	1/8		1/8	1		2	62	D4	4	355
38	37	149/2	149/2	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		2	74	D5	5	350
38	37	299/4	299/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		5	71	B4	4	351
39	38	75	75	0.5		0	0	2/4	2	1	1/8		1/8	1		3	57	A3	3	358
39	38	75	75	0.5		0	0	2/4	2	1	1/8		1/8	1		7	61	C#4	4	358
39	38	75	75	1.0		0	0	2/4	1	1	1/4		1/4	1		3	69	A4	4	356
39	38	151/2	151/2	0.5		1/8	1/8	2/4	2	1	1/8		1/8	1		3	45	A2	2	359
39	38	153/2	153/2	0.25		3/8	3/8	2/4	2	1	1/16		1/16	1		3	57	A3	3	360
39	38	153/2	153/2	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1	1	4	64	E4	4	357
39	38	153/2	153/2	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1	1	4	76	E5	5	357
39	38	307/4	307/4	0.25		7/16	7/16	2/4	2	1	1/16		1/16	1		1	55	G3	3	361
40	39	77	77	0.25		0	0	2/4	2	1	1/16		1/16	1		6	54	F#3	3	365
40	39	77	77	0.5		0	0	2/4	1	1	1/8		1/8	1	-1	4	64	E4	4	362
40	39	77	77	0.5		0	0	2/4	1	1	1/8		1/8	1	-1	4	76	E5	5	362
40	39	309/4	309/4	0.25		1/16	1/16	2/4	2	1	1/16		1/16	1		4	52	E3	3	366
40	39	155/2	155/2	0.25		1/8	1/8	2/4	2	1	1/16		1/16	1		6	54	F#3	3	367
40	39	155/2	155/2	1.0		1/8	1/8	2/4	1	1	1/4		1/4	1		2	62	D4	4	363
40	39	155/2	155/2	1.0		1/8	1/8	2/4	1	1	1/4		1/4	1		2	74	D5	5	363
40	39	311/4	311/4	0.25		3/16	3/16	2/4	2	1	1/16		1/16	1		8	56	G#3	3	368
40	39	78	78	0.25		1/4	1/4	2/4	2	1	1/16		1/16	1		3	57	A3	3	369
40	39	313/4	313/4	0.25		5/16	5/16	2/4	2	1	1/16		1/16	1		3	45	A2	2	370
40	39	157/2	157/2	0.25		3/8	3/8	2/4	2	1	1/16		1/16	1		5	47	B2	2	371
40	39	157/2	157/2	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1	1	7	61	C#4	4	364
40	39	157/2	157/2	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1	1	7	73	C#5	5	364
40	39	315/4	315/4	0.25		7/16	7/16	2/4	2	1	1/16		1/16	1		7	49	C#3	3	372
41	40	79	79	0.25		0	0	2/4	2	1	1/16		1/16	1		2	50	D3	3	376
41	40	79	79	0.5		0	0	2/4	1	1	1/8		1/8	1	-1	7	61	C#4	4	373
41	40	79	79	0.5		0	0	2/4	1	1	1/8		1/8	1	-1	7	73	C#5	5	373
41	40	317/4	317/4	0.25		1/16	1/16	2/4	2	1	1/16		1/16	1		7	49	C#3	3	377
41	40	159/2	159/2	0.25		1/8	1/8	2/4	2	1	1/16		1/16	1		2	50	D3	3	378
41	40	159/2	159/2	1.0		1/8	1/8	2/4	1	1	1/4		1/4	1		5	59	B3	3	374
41	40	159/2	159/2	1.0		1/8	1/8	2/4	1	1	1/4		1/4	1		5	71	B4	4	374
41	40	319/4	319/4	0.25		3/16	3/16	2/4	2	1	1/16		1/16	1		4	52	E3	3	379
41	40	80	80	0.25		1/4	1/4	2/4	2	1	1/16		1/16	1		2	50	D3	3	380
41	40	321/4	321/4	0.25		5/16	5/16	2/4	2	1	1/16		1/16	1		7	49	C#3	3	381
41	40	161/2	161/2	0.25		3/8	3/8	2/4	2	1	1/16		1/16	1		2	50	D3	3	382
41	40	161/2	161/2	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1	1	4	64	E4	4	375
41	40	323/4	323/4	0.25		7/16	7/16	2/4	2	1	1/16		1/16	1		4	52	E3	3	383
42	41	81	81	0.25		0	0	2/4	2	1	1/16		1/16	1		2	50	D3	3	388
42	41	81	81	0.5		0	0	2/4	1	1	1/8		1/8	1	-1	4	64	E4	4	384
42	41	325/4	325/4	0.25		1/16	1/16	2/4	2	1	1/16		1/16	1		7	49	C#3	3	389
42	41	163/2	163/2	0.25		1/8	1/8	2/4	2	1	1/16		1/16	1		2	50	D3	3	390
42	41	163/2	163/2	1.0		1/8	1/8	2/4	1	1	1/4		1/4	1		3	57	A3	3	385
42	41	163/2	163/2	1.0		1/8	1/8	2/4	1	1	1/4		1/4	1		3	69	A4	4	385
42	41	327/4	327/4	0.25		3/16	3/16	2/4	2	1	1/16		1/16	1		4	52	E3	3	391
42	41	82	82	0.25		1/4	1/4	2/4	2	1	1/16		1/16	1		2	50	D3	3	392
42	41	329/4	329/4	0.25		5/16	5/16	2/4	2	1	1/16		1/16	1		7	49	C#3	3	393
42	41	165/2	165/2	0.25		3/8	3/8	2/4	2	1	1/16		1/16	1		5	47	B2	2	394
42	41	165/2	165/2	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		5	59	B3	3	386
42	41	165/2	165/2	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		5	71	B4	4	386
42	41	331/4	331/4	0.25		7/16	7/16	2/4	2	1	1/16		1/16	1		3	45	A2	2	395
42	41	331/4	331/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		7	61	C#4	4	387
42	41	331/4	331/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		7	73	C#5	5	387
43	42	83	83	0.25		0	0	2/4	2	1	1/16		1/16	1		8	44	G#2	2	399
43	42	83	83	0.5		0	0	2/4	1	1	1/8		1/8	1		2	62	D4	4	396
43	42	83	83	0.5		0	0	2/4	1	1	1/8		1/8	1		2	74	D5	5	396
43	42	333/4	333/4	0.25		1/16	1/16	2/4	2	1	1/16		1/16	1		6	42	F#2	2	400
43	42	167/2	167/2	0.25		1/8	1/8	2/4	2	1	1/16		1/16	1		4	40	E2	2	401
43	42	167/2	167/2	1.0		1/8	1/8	2/4	1	1	1/4		1/4	1		4	64	E4	4	397
43	42	167/2	167/2	1.0		1/8	1/8	2/4	1	1	1/4		1/4	1		4	76	E5	5	397
43	42	335/4	335/4	0.25		3/16	3/16	2/4	2	1	1/16		1/16	1		8	44	G#2	2	402
43	42	84	84	0.25		1/4	1/4	2/4	2	1	1/16		1/16	1		3	45	A2	2	403
43	42	337/4	337/4	0.25		5/16	5/16	2/4	2	1	1/16		1/16	1		5	47	B2	2	404
43	42	169/2	169/2	0.25		3/8	3/8	2/4	2	1	1/16		1/16	1		7	49	C#3	3	405
43	42	169/2	169/2	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1		3	69	A4	4	398
43	42	169/2	169/2	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1		7	73	C#5	5	398
43	42	339/4	339/4	0.25		7/16	7/16	2/4	2	1	1/16		1/16	1		2	50	D3	3	406
44	43	85	85	0.5		0	0	2/4	2	1	1/8		1/8	1		4	52	E3	3	409
44	43	85	85	1.0		0	0	2/4	1	1	1/4		1/4	1		8	68	G#4	4	407
44	43	85	85	1.0		0	0	2/4	1	1	1/4		1/4	1		5	71	B4	4	407
44	43	171/2	171/2	0.25		1/8	1/8	2/4	2	1	1/16		1/16	1		4	64	E4	4	410
44	43	343/4	343/4	0.25		3/16	3/16	2/4	2	1	1/16		1/16	1		2	62	D4	4	411
44	43	86	86	0.25		1/4	1/4	2/4	2	1	1/16		1/16	1		7	61	C#4	4	412
44	43	345/4	345/4	0.25		5/16	5/16	2/4	2	1	1/16		1/16	1		5	59	B3	3	413
44	43	173/2	173/2	0.25		3/8	3/8	2/4	2	1	1/16		1/16	1		3	57	A3	3	414
44	43	173/2	173/2	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1	1	4	64	E4	4	408
44	43	173/2	173/2	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1	1	4	76	E5	5	408
44	43	347/4	347/4	0.25		7/16	7/16	2/4	2	1	1/16		1/16	1		1	55	G3	3	415
45	44	87	87	0.25		0	0	2/4	2	1	1/16		1/16	1		6	54	F#3	3	419
45	44	87	87	0.5		0	0	2/4	1	1	1/8		1/8	1	-1	4	64	E4	4	416
45	44	87	87	0.5		0	0	2/4	1	1	1/8		1/8	1	-1	4	76	E5	5	416
45	44	349/4	349/4	0.25		1/16	1/16	2/4	2	1	1/16		1/16	1		4	52	E3	3	420
45	44	175/2	175/2	0.25		1/8	1/8	2/4	2	1	1/16		1/16	1		6	54	F#3	3	421
45	44	175/2	175/2	1.0		1/8	1/8	2/4	1	1	1/4		1/4	1		2	62	D4	4	417
45	44	175/2	175/2	1.0		1/8	1/8	2/4	1	1	1/4		1/4	1		2	74	D5	5	417
45	44	351/4	351/4	0.25		3/16	3/16	2/4	2	1	1/16		1/16	1		8	56	G#3	3	422
45	44	88	88	0.25		1/4	1/4	2/4	2	1	1/16		1/16	1		3	57	A3	3	423
45	44	353/4	353/4	0.25		5/16	5/16	2/4	2	1	1/16		1/16	1		3	45	A2	2	424
45	44	177/2	177/2	0.25		3/8	3/8	2/4	2	1	1/16		1/16	1		5	47	B2	2	425
45	44	177/2	177/2	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1	1	7	61	C#4	4	418
45	44	177/2	177/2	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1	1	7	73	C#5	5	418
45	44	355/4	355/4	0.25		7/16	7/16	2/4	2	1	1/16		1/16	1		7	49	C#3	3	426
46	45	89	89	0.25		0	0	2/4	2	1	1/16		1/16	1		2	50	D3	3	430
46	45	89	89	0.5		0	0	2/4	1	1	1/8		1/8	1	-1	7	61	C#4	4	427
46	45	89	89	0.5		0	0	2/4	1	1	1/8		1/8	1	-1	7	73	C#5	5	427
46	45	357/4	357/4	0.25		1/16	1/16	2/4	2	1	1/16		1/16	1		7	49	C#3	3	431
46	45	179/2	179/2	0.25		1/8	1/8	2/4	2	1	1/16		1/16	1		2	50	D3	3	432
46	45	179/2	179/2	1.0		1/8	1/8	2/4	1	1	1/4		1/4	1		5	59	B3	3	428
46	45	179/2	179/2	1.0		1/8	1/8	2/4	1	1	1/4		1/4	1		5	71	B4	4	428
46	45	359/4	359/4	0.25		3/16	3/16	2/4	2	1	1/16		1/16	1		4	52	E3	3	433
46	45	90	90	0.25		1/4	1/4	2/4	2	1	1/16		1/16	1		2	50	D3	3	434
46	45	361/4	361/4	0.25		5/16	5/16	2/4	2	1	1/16		1/16	1		7	49	C#3	3	435
46	45	181/2	181/2	0.25		3/8	3/8	2/4	2	1	1/16		1/16	1		2	50	D3	3	436
46	45	181/2	181/2	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1	1	4	64	E4	4	429
46	45	363/4	363/4	0.25		7/16	7/16	2/4	2	1	1/16		1/16	1		4	52	E3	3	437
47	46	91	91	0.25		0	0	2/4	2	1	1/16		1/16	1		2	50	D3	3	442
47	46	91	91	0.5		0	0	2/4	1	1	1/8		1/8	1	-1	4	64	E4	4	438
47	46	365/4	365/4	0.25		1/16	1/16	2/4	2	1	1/16		1/16	1		7	49	C#3	3	443
47	46	183/2	183/2	0.25		1/8	1/8	2/4	2	1	1/16		1/16	1		2	50	D3	3	444
47	46	183/2	183/2	1.0		1/8	1/8	2/4	1	1	1/4		1/4	1		3	57	A3	3	439
47	46	183/2	183/2	1.0		1/8	1/8	2/4	1	1	1/4		1/4	1		3	69	A4	4	439
47	46	367/4	367/4	0.25		3/16	3/16	2/4	2	1	1/16		1/16	1		4	52	E3	3	445
47	46	92	92	0.25		1/4	1/4	2/4	2	1	1/16		1/16	1		2	50	D3	3	446
47	46	369/4	369/4	0.25		5/16	5/16	2/4	2	1	1/16		1/16	1		7	49	C#3	3	447
47	46	185/2	185/2	0.25		3/8	3/8	2/4	2	1	1/16		1/16	1		5	47	B2	2	448
47	46	185/2	185/2	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		5	59	B3	3	440
47	46	185/2	185/2	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		5	71	B4	4	440
47	46	371/4	371/4	0.25		7/16	7/16	2/4	2	1	1/16		1/16	1		3	45	A2	2	449
47	46	371/4	371/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		7	61	C#4	4	441
47	46	371/4	371/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		7	73	C#5	5	441
48	47	93	93	0.25		0	0	2/4	2	1	1/16		1/16	1		2	38	D2	2	454
48	47	93	93	0.25		0	0	2/4	1	1	1/16		1/16	1		2	62	D4	4	450
48	47	93	93	0.25		0	0	2/4	1	1	1/16		1/16	1		2	74	D5	5	450
48	47	373/4	373/4	0.25		1/16	1/16	2/4	2	1	1/16		1/16	1		6	42	F#2	2	455
48	47	373/4	373/4	0.25		1/16	1/16	2/4	1	1	1/16		1/16	1		4	64	E4	4	451
48	47	373/4	373/4	0.25		1/16	1/16	2/4	1	1	1/16		1/16	1		4	76	E5	5	451
48	47	187/2	187/2	0.25		1/8	1/8	2/4	2	1	1/16		1/16	1		5	47	B2	2	456
48	47	187/2	187/2	1.0		1/8	1/8	2/4	1	1	1/4		1/4	1		6	66	F#4	4	452
48	47	187/2	187/2	1.0		1/8	1/8	2/4	1	1	1/4		1/4	1		6	78	F#5	5	452
48	47	375/4	375/4	0.25		3/16	3/16	2/4	2	1	1/16		1/16	1		2	50	D3	3	457
48	47	94	94	0.25		1/4	1/4	2/4	2	1	1/16		1/16	1		4	40	E2	2	458
48	47	377/4	377/4	0.25		5/16	5/16	2/4	2	1	1/16		1/16	1		5	47	B2	2	459
48	47	189/2	189/2	0.25		3/8	3/8	2/4	2	1	1/16		1/16	1		4	52	E3	3	460
48	47	189/2	189/2	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1		8	56	G#3	3	453
48	47	189/2	189/2	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1		8	68	G#4	4	453
48	47	379/4	379/4	0.25		7/16	7/16	2/4	2	1	1/16		1/16	1		2	50	D3	3	461
49	48	95	95	0.25		0	0	2/4	2	1	1/16		1/16	1		7	49	C#3	3	469
49	48	95	95	0.5		0	0	2/4	1	1	1/8		1/8	1		3	57	A3	3	462
49	48	95	95	0.5		0	0	2/4	1	1	1/8		1/8	1		3	69	A4	4	462
49	48	381/4	381/4	0.25		1/16	1/16	2/4	2	1	1/16		1/16	1		5	47	B2	2	470
49	48	191/2	191/2	0.5		1/8	1/8	2/4	2	1	1/8		1/8	1		3	45	A2	2	471
49	48	96	96	0.16666666666666666		1/4	1/4	2/4	1	1	1/24		1/16	2/3		4	64	E4	4	463
49	48	577/6	577/6	0.16666666666666666		7/24	7/24	2/4	1	1	1/24		1/16	2/3		3	69	A4	4	464
49	48	289/3	289/3	0.16666666666666666		1/3	1/3	2/4	1	1	1/24		1/16	2/3		7	73	C#5	5	465
49	48	193/2	193/2	0.5		3/8	3/8	2/4	2	1	1/8		1/8	1		3	57	A3	3	472
